gene_name,gene_id,start,end,chromosome,chromosome_nc
CYGB,gene-CYGB,45140130,45151068,chr16,NC_023657.1
RHBDF2,gene-RHBDF2,45176152,45205464,chr16,NC_023657.1
AANAT,gene-AANAT,45206233,45215761,chr16,NC_023657.1
UBE2O,gene-UBE2O,45223249,45288545,chr16,NC_023657.1
SPHK1,gene-SPHK1,45290147,45295175,chr16,NC_023657.1
LOC103242987,gene-LOC103242987,45297193,45309561,chr16,NC_023657.1
LOC103243834,gene-LOC103243834,45313193,45326131,chr16,NC_023657.1
PRPSAP1,gene-PRPSAP1,45326152,45368636,chr16,NC_023657.1
QRICH2,gene-QRICH2,45370569,45407297,chr16,NC_023657.1
UBALD2,gene-UBALD2,45407295,45413700,chr16,NC_023657.1
RNF157,gene-RNF157,45438603,45536270,chr16,NC_023657.1
LOC103243008,gene-LOC103243008,45487212,45489789,chr16,NC_023657.1
LOC103243005,gene-LOC103243005,45532315,45534046,chr16,NC_023657.1
FOXJ1,gene-FOXJ1,45536973,45544331,chr16,NC_023657.1
LOC103243010,gene-LOC103243010,45555044,45566632,chr16,NC_023657.1
EXOC7,gene-EXOC7,45568987,45596676,chr16,NC_023657.1
ZACN,gene-ZACN,45594929,45598899,chr16,NC_023657.1
GALR2,gene-GALR2,45599934,45603207,chr16,NC_023657.1
SRP68,gene-SRP68,45607216,45649357,chr16,NC_023657.1
EVPL,gene-EVPL,45659447,45680397,chr16,NC_023657.1
CDK3,gene-CDK3,45681006,45686958,chr16,NC_023657.1
TEN1,gene-TEN1,45686946,45706185,chr16,NC_023657.1
ACOX1,gene-ACOX1,45706009,45745564,chr16,NC_023657.1
FBF1,gene-FBF1,45746009,45781766,chr16,NC_023657.1
LOC103243022,gene-LOC103243022,45777376,45778101,chr16,NC_023657.1
LOC103243021,gene-LOC103243021,45786501,45787226,chr16,NC_023657.1
LOC103243020,gene-LOC103243020,45788374,45790155,chr16,NC_023657.1
TRIM65,gene-TRIM65,45790271,45798852,chr16,NC_023657.1
TRIM47,gene-TRIM47,45806945,45811468,chr16,NC_023657.1
LOC103243027,gene-LOC103243027,45814203,45814724,chr16,NC_023657.1
WBP2,gene-WBP2,45821875,45836558,chr16,NC_023657.1
UNC13D,gene-UNC13D,45836659,45856805,chr16,NC_023657.1
UNK,gene-UNK,45858198,45899367,chr16,NC_023657.1
H3F3B,gene-H3F3B,45903252,45905605,chr16,NC_023657.1
GALK1,gene-GALK1,45919316,45926423,chr16,NC_023657.1
ITGB4,gene-ITGB4,45926543,45962967,chr16,NC_023657.1
SAP30BP,gene-SAP30BP,45970535,46013168,chr16,NC_023657.1
LOC103243040,gene-LOC103243040,45989485,45991029,chr16,NC_023657.1
RECQL5,gene-RECQL5,46013100,46052713,chr16,NC_023657.1
SMIM6,gene-SMIM6,46032601,46033784,chr16,NC_023657.1
SMIM5,gene-SMIM5,46033700,46047236,chr16,NC_023657.1
LOC103243036,gene-LOC103243036,46052716,46075633,chr16,NC_023657.1
LLGL2,gene-LLGL2,46103080,46151576,chr16,NC_023657.1
LOC103243046,gene-LOC103243046,46151710,46154115,chr16,NC_023657.1
TSEN54,gene-TSEN54,46152547,46162328,chr16,NC_023657.1
CASKIN2,gene-CASKIN2,46162457,46178430,chr16,NC_023657.1
KIAA0195,gene-KIAA0195,46178237,46223931,chr16,NC_023657.1
GRB2,gene-GRB2,46264818,46346426,chr16,NC_023657.1
LOC103243799,gene-LOC103243799,46328857,46330499,chr16,NC_023657.1
SLC25A19,gene-SLC25A19,46380665,46403532,chr16,NC_023657.1
MIF4GD,gene-MIF4GD,46394488,46407225,chr16,NC_023657.1
MRPS7,gene-MRPS7,46407080,46411753,chr16,NC_023657.1
GGA3,gene-GGA3,46410941,46432560,chr16,NC_023657.1
NUP85,gene-NUP85,46433821,46463822,chr16,NC_023657.1
SUMO2,gene-SUMO2,46479399,46495591,chr16,NC_023657.1
HN1,gene-HN1,46509724,46530306,chr16,NC_023657.1
NT5C,gene-NT5C,46531820,46533763,chr16,NC_023657.1
ARMC7,gene-ARMC7,46533762,46557907,chr16,NC_023657.1
SLC16A5,gene-SLC16A5,46561999,46579261,chr16,NC_023657.1
KCTD2,gene-KCTD2,46606832,46625366,chr16,NC_023657.1
ATP5H,gene-ATP5H,46625512,46630613,chr16,NC_023657.1
LOC103243062,gene-LOC103243062,46631279,46641818,chr16,NC_023657.1
TRNAR-UCG,gene-TRNAR-UCG,46638738,46638810,chr16,NC_023657.1
TRNAR-CCU,gene-TRNAR-CCU,46639419,46639491,chr16,NC_023657.1
TRNAR-CCU-2,gene-TRNAR-CCU-2,46639937,46640009,chr16,NC_023657.1
ICT1,gene-ICT1,46652001,46664069,chr16,NC_023657.1
CDR2L,gene-CDR2L,46672061,46689495,chr16,NC_023657.1
HID1,gene-HID1,46706150,46729651,chr16,NC_023657.1
OTOP3,gene-OTOP3,46730412,46745104,chr16,NC_023657.1
OTOP2,gene-OTOP2,46746681,46757567,chr16,NC_023657.1
USH1G,gene-USH1G,46757704,46764113,chr16,NC_023657.1
LOC103243072,gene-LOC103243072,46764387,46772294,chr16,NC_023657.1
LOC103243071,gene-LOC103243071,46779927,46785590,chr16,NC_023657.1
FDXR,gene-FDXR,46785669,46796154,chr16,NC_023657.1
GRIN2C,gene-GRIN2C,46797136,46816703,chr16,NC_023657.1
TMEM104,gene-TMEM104,46813891,46882464,chr16,NC_023657.1
NAT9,gene-NAT9,46882539,46888232,chr16,NC_023657.1
SLC9A3R1,gene-SLC9A3R1,46889454,46910776,chr16,NC_023657.1
LOC103243079,gene-LOC103243079,46912050,46987174,chr16,NC_023657.1
CD300LF,gene-CD300LF,46944701,46963559,chr16,NC_023657.1
CD300E,gene-CD300E,47024800,47039058,chr16,NC_023657.1
LOC103243082,gene-LOC103243082,47041031,47051054,chr16,NC_023657.1
C16H17orf77,gene-C16H17orf77,47055542,47060194,chr16,NC_023657.1
LOC103243083,gene-LOC103243083,47056402,47071442,chr16,NC_023657.1
LOC103243085,gene-LOC103243085,47083784,47094856,chr16,NC_023657.1
CD300C,gene-CD300C,47103229,47108365,chr16,NC_023657.1
LOC103243087,gene-LOC103243087,47118020,47128191,chr16,NC_023657.1
CD300A,gene-CD300A,47153766,47173780,chr16,NC_023657.1
GPRC5C,gene-GPRC5C,47183402,47205691,chr16,NC_023657.1
GPR142,gene-GPR142,47260111,47265547,chr16,NC_023657.1
BTBD17,gene-BTBD17,47262362,47277915,chr16,NC_023657.1
KIF19,gene-KIF19,47278541,47308125,chr16,NC_023657.1
DNAI2,gene-DNAI2,47318477,47348767,chr16,NC_023657.1
LOC103243094,gene-LOC103243094,47337195,47366035,chr16,NC_023657.1
TTYH2,gene-TTYH2,47372879,47421471,chr16,NC_023657.1
RPL38,gene-RPL38,47425014,47432401,chr16,NC_023657.1
LOC103243099,gene-LOC103243099,47599829,47631514,chr16,NC_023657.1
LOC103243100,gene-LOC103243100,47693489,47845451,chr16,NC_023657.1
LOC103243101,gene-LOC103243101,47886034,47900096,chr16,NC_023657.1
LOC103243102,gene-LOC103243102,47921385,47925057,chr16,NC_023657.1
SDK2,gene-SDK2,47996688,48305858,chr16,NC_023657.1
CDC42EP4,gene-CDC42EP4,48331092,48358301,chr16,NC_023657.1
CPSF4L,gene-CPSF4L,48358899,48394504,chr16,NC_023657.1
C16H17orf80,gene-C16H17orf80,48388665,48404425,chr16,NC_023657.1
FAM104A,gene-FAM104A,48404267,48427455,chr16,NC_023657.1
COG1,gene-COG1,48426303,48441274,chr16,NC_023657.1
LOC103243107,gene-LOC103243107,48430695,48431787,chr16,NC_023657.1
SLC39A11,gene-SLC39A11,48440063,48999755,chr16,NC_023657.1
SSTR2,gene-SSTR2,48462472,48470586,chr16,NC_023657.1
LOC103243125,gene-LOC103243125,49289077,49291296,chr16,NC_023657.1
SOX9,gene-SOX9,49519749,49523967,chr16,NC_023657.1
LOC103243121,gene-LOC103243121,49524173,49622641,chr16,NC_023657.1
LOC103243119,gene-LOC103243119,49648177,50745556,chr16,NC_023657.1
LOC103243120,gene-LOC103243120,50021489,50024442,chr16,NC_023657.1
LOC103243117,gene-LOC103243117,50480762,50517580,chr16,NC_023657.1
LOC103243118,gene-LOC103243118,50491979,50502334,chr16,NC_023657.1
LOC103243115,gene-LOC103243115,50715675,50745239,chr16,NC_023657.1
KCNJ2,gene-KCNJ2,51448821,51461801,chr16,NC_023657.1
LOC103243835,gene-LOC103243835,51454029,51462375,chr16,NC_023657.1
LOC103243127,gene-LOC103243127,51465498,51470969,chr16,NC_023657.1
KCNJ16,gene-KCNJ16,51491064,51631037,chr16,NC_023657.1
LOC103243129,gene-LOC103243129,51635363,51659805,chr16,NC_023657.1
MAP2K6,gene-MAP2K6,52045398,52188416,chr16,NC_023657.1
LOC103243133,gene-LOC103243133,52248601,52273844,chr16,NC_023657.1
ABCA5,gene-ABCA5,52278563,52373218,chr16,NC_023657.1
ABCA10,gene-ABCA10,52372998,52446057,chr16,NC_023657.1
ABCA6,gene-ABCA6,52450398,52511256,chr16,NC_023657.1
ABCA9,gene-ABCA9,52524331,52601860,chr16,NC_023657.1
ABCA8,gene-ABCA8,52619326,52698795,chr16,NC_023657.1
LOC103243139,gene-LOC103243139,52690308,52691197,chr16,NC_023657.1
LOC103243142,gene-LOC103243142,52793959,52870421,chr16,NC_023657.1
LOC103243836,gene-LOC103243836,52901346,53010827,chr16,NC_023657.1
FAM20A,gene-FAM20A,52955411,53017263,chr16,NC_023657.1
PRKAR1A,gene-PRKAR1A,53021666,53042594,chr16,NC_023657.1
WIPI1,gene-WIPI1,53096027,53133828,chr16,NC_023657.1
ARSG,gene-ARSG,53133829,53273844,chr16,NC_023657.1
SLC16A6,gene-SLC16A6,53240968,53264487,chr16,NC_023657.1
AMZ2,gene-AMZ2,53273949,53282915,chr16,NC_023657.1
LOC103243837,gene-LOC103243837,53282911,53302045,chr16,NC_023657.1
LOC103243838,gene-LOC103243838,53351119,53372172,chr16,NC_023657.1
LOC103243152,gene-LOC103243152,53418865,53421128,chr16,NC_023657.1
KPNA2,gene-KPNA2,53422792,53434693,chr16,NC_023657.1
TRNAR-CCG,gene-TRNAR-CCG,53449620,53449692,chr16,NC_023657.1
C16H17orf58,gene-C16H17orf58,53470937,53473347,chr16,NC_023657.1
BPTF,gene-BPTF,53478706,53634617,chr16,NC_023657.1
NOL11,gene-NOL11,53720229,53747715,chr16,NC_023657.1
PITPNC1,gene-PITPNC1,53766694,54086527,chr16,NC_023657.1
PSMD12,gene-PSMD12,54096908,54122164,chr16,NC_023657.1
HELZ,gene-HELZ,54196505,54369015,chr16,NC_023657.1
CACNG1,gene-CACNG1,54383328,54397331,chr16,NC_023657.1
CACNG4,gene-CACNG4,54413981,54482707,chr16,NC_023657.1
LOC103243166,gene-LOC103243166,54479515,54481668,chr16,NC_023657.1
LOC103243168,gene-LOC103243168,54486347,54495218,chr16,NC_023657.1
CACNG5,gene-CACNG5,54561040,54612026,chr16,NC_023657.1
PRKCA,gene-PRKCA,54638548,55144372,chr16,NC_023657.1
LOC103243170,gene-LOC103243170,54782295,54796187,chr16,NC_023657.1
APOH,gene-APOH,55209142,55231176,chr16,NC_023657.1
CEP112,gene-CEP112,55250701,55797457,chr16,NC_023657.1
AXIN2,gene-AXIN2,55874043,55906739,chr16,NC_023657.1
LOC103243839,gene-LOC103243839,55874889,55877022,chr16,NC_023657.1
LOC103243177,gene-LOC103243177,56105720,56141334,chr16,NC_023657.1
RGS9,gene-RGS9,56199051,56291002,chr16,NC_023657.1
LOC103243178,gene-LOC103243178,56288668,56290550,chr16,NC_023657.1
LOC103243181,gene-LOC103243181,56310325,56312131,chr16,NC_023657.1
LOC103243185,gene-LOC103243185,56315751,56326375,chr16,NC_023657.1
LOC103243184,gene-LOC103243184,56331769,56332173,chr16,NC_023657.1
LOC103243182,gene-LOC103243182,56366288,56371470,chr16,NC_023657.1
GNA13,gene-GNA13,56372146,56419754,chr16,NC_023657.1
LOC103243840,gene-LOC103243840,56454481,56457620,chr16,NC_023657.1
LOC103243187,gene-LOC103243187,56457618,56465500,chr16,NC_023657.1
LOC103243188,gene-LOC103243188,56474974,56492697,chr16,NC_023657.1
SMURF2,gene-SMURF2,56615171,56728239,chr16,NC_023657.1
CEP95,gene-CEP95,56736391,56766660,chr16,NC_023657.1
DDX5,gene-DDX5,56766669,56773767,chr16,NC_023657.1
POLG2,gene-POLG2,56773867,56794571,chr16,NC_023657.1
MILR1,gene-MILR1,56799089,56827030,chr16,NC_023657.1
PECAM1,gene-PECAM1,56863763,56947479,chr16,NC_023657.1
TEX2,gene-TEX2,57014054,57127351,chr16,NC_023657.1
LOC103243203,gene-LOC103243203,57128301,57129921,chr16,NC_023657.1
ERN1,gene-ERN1,57145080,57233757,chr16,NC_023657.1
ICAM2,gene-ICAM2,57248393,57269821,chr16,NC_023657.1
PRR29,gene-PRR29,57269916,57273941,chr16,NC_023657.1
SCN4A,gene-SCN4A,57273143,57331677,chr16,NC_023657.1
LOC103243206,gene-LOC103243206,57323108,57323799,chr16,NC_023657.1
LOC103243205,gene-LOC103243205,57327047,57336483,chr16,NC_023657.1
CD79B,gene-CD79B,57339492,57343085,chr16,NC_023657.1
LOC103243212,gene-LOC103243212,57345460,57346390,chr16,NC_023657.1
LOC103243843,gene-LOC103243843,57348813,57350307,chr16,NC_023657.1
LOC103243211,gene-LOC103243211,57354639,57356373,chr16,NC_023657.1
LOC103243214,gene-LOC103243214,57357999,57377475,chr16,NC_023657.1
LOC103243213,gene-LOC103243213,57382263,57385229,chr16,NC_023657.1
LOC103243216,gene-LOC103243216,57418866,57433524,chr16,NC_023657.1
SMARCD2,gene-SMARCD2,57446825,57457605,chr16,NC_023657.1
PSMC5,gene-PSMC5,57457670,57462321,chr16,NC_023657.1
FTSJ3,gene-FTSJ3,57462623,57469972,chr16,NC_023657.1
DDX42,gene-DDX42,57470095,57517056,chr16,NC_023657.1
CCDC47,gene-CCDC47,57517759,57545495,chr16,NC_023657.1
STRADA,gene-STRADA,57550698,57587995,chr16,NC_023657.1
LIMD2,gene-LIMD2,57588067,57593032,chr16,NC_023657.1
LOC103243222,gene-LOC103243222,57592526,57594472,chr16,NC_023657.1
MAP3K3,gene-MAP3K3,57594770,57670047,chr16,NC_023657.1
LOC103243227,gene-LOC103243227,57681289,57688814,chr16,NC_023657.1
DCAF7,gene-DCAF7,57695930,57731444,chr16,NC_023657.1
KCNH6,gene-KCNH6,57733032,57759292,chr16,NC_023657.1
LOC103243233,gene-LOC103243233,57765829,57774328,chr16,NC_023657.1
LOC103243232,gene-LOC103243232,57784933,57807172,chr16,NC_023657.1
LOC103243239,gene-LOC103243239,57831350,57850225,chr16,NC_023657.1
TANC2,gene-TANC2,57849592,58254957,chr16,NC_023657.1
LOC103243236,gene-LOC103243236,58001795,58012621,chr16,NC_023657.1
LOC103243234,gene-LOC103243234,58254950,58307964,chr16,NC_023657.1
MARCH10,gene-MARCH10,58466882,58574222,chr16,NC_023657.1
LOC103243242,gene-LOC103243242,58525115,58526484,chr16,NC_023657.1
MRC2,gene-MRC2,58582150,58648552,chr16,NC_023657.1
TLK2,gene-TLK2,58662284,58800838,chr16,NC_023657.1
METTL2A,gene-METTL2A,58828438,58854284,chr16,NC_023657.1
EFCAB3,gene-EFCAB3,58862282,59182243,chr16,NC_023657.1
LOC103243282,gene-LOC103243282,58958769,58959414,chr16,NC_023657.1
LOC103243845,gene-LOC103243845,59198963,59210235,chr16,NC_023657.1
EFCAB13,gene-EFCAB13,59230231,59358653,chr16,NC_023657.1
ITGB3,gene-ITGB3,59372171,59431434,chr16,NC_023657.1
LOC103243276,gene-LOC103243276,59453699,59454287,chr16,NC_023657.1
MYL4,gene-MYL4,59457500,59497705,chr16,NC_023657.1
CDC27,gene-CDC27,59497731,59564298,chr16,NC_023657.1
LOC103243272,gene-LOC103243272,59570087,59576525,chr16,NC_023657.1
LRRC37A2,gene-LRRC37A2,59592891,59634813,chr16,NC_023657.1
LOC103243269,gene-LOC103243269,59609988,59620726,chr16,NC_023657.1
LOC103243268,gene-LOC103243268,59656089,59664679,chr16,NC_023657.1
KANSL1,gene-KANSL1,59692890,59888955,chr16,NC_023657.1
LOC103243846,gene-LOC103243846,59722827,59726555,chr16,NC_023657.1
MAPT,gene-MAPT,59894400,60020723,chr16,NC_023657.1
STH,gene-STH,59915844,59920081,chr16,NC_023657.1
LOC103243263,gene-LOC103243263,59982897,59983375,chr16,NC_023657.1
SPPL2C,gene-SPPL2C,60059144,60062178,chr16,NC_023657.1
CRHR1,gene-CRHR1,60070156,60120857,chr16,NC_023657.1
LOC103243259,gene-LOC103243259,60163876,60166512,chr16,NC_023657.1
LOC103243847,gene-LOC103243847,60265137,60268228,chr16,NC_023657.1
ARL17A,gene-ARL17A,60269955,60303833,chr16,NC_023657.1
NSF,gene-NSF,60308000,60467596,chr16,NC_023657.1
LOC103243256,gene-LOC103243256,60428258,60429009,chr16,NC_023657.1
WNT3,gene-WNT3,60472723,60527664,chr16,NC_023657.1
WNT9B,gene-WNT9B,60560132,60596782,chr16,NC_023657.1
GOSR2,gene-GOSR2,60630505,60664596,chr16,NC_023657.1
LOC103243252,gene-LOC103243252,60675303,60677562,chr16,NC_023657.1
RPRML,gene-RPRML,60681721,60683034,chr16,NC_023657.1
LOC103243848,gene-LOC103243848,60713946,60738205,chr16,NC_023657.1
LOC103243250,gene-LOC103243250,60735270,60787301,chr16,NC_023657.1
LOC103243249,gene-LOC103243249,60744376,60764409,chr16,NC_023657.1
LOC103243248,gene-LOC103243248,60831907,60877037,chr16,NC_023657.1
PLEKHM1,gene-PLEKHM1,60926006,60980359,chr16,NC_023657.1
LOC103243287,gene-LOC103243287,60982246,60984129,chr16,NC_023657.1
ARHGAP27,gene-ARHGAP27,60984171,61020579,chr16,NC_023657.1
MAP3K14,gene-MAP3K14,61100298,61153984,chr16,NC_023657.1
SPATA32,gene-SPATA32,61154692,61163260,chr16,NC_023657.1
FMNL1,gene-FMNL1,61169453,61198686,chr16,NC_023657.1
LOC103243290,gene-LOC103243290,61171942,61172455,chr16,NC_023657.1
LOC103243292,gene-LOC103243292,61198720,61201977,chr16,NC_023657.1
HEXIM2,gene-HEXIM2,61236919,61251203,chr16,NC_023657.1
LOC103243293,gene-LOC103243293,61249181,61250806,chr16,NC_023657.1
HEXIM1,gene-HEXIM1,61258910,61264069,chr16,NC_023657.1
ACBD4,gene-ACBD4,61266849,61277731,chr16,NC_023657.1
PLCD3,gene-PLCD3,61277813,61300891,chr16,NC_023657.1
NMT1,gene-NMT1,61304141,61352019,chr16,NC_023657.1
DCAKD,gene-DCAKD,61353811,61380408,chr16,NC_023657.1
LOC103243299,gene-LOC103243299,61379433,61382262,chr16,NC_023657.1
LOC103243301,gene-LOC103243301,61415472,61416691,chr16,NC_023657.1
C1QL1,gene-C1QL1,61436164,61444059,chr16,NC_023657.1
KIF18B,gene-KIF18B,61455785,61478232,chr16,NC_023657.1
GFAP,gene-GFAP,61489090,61499672,chr16,NC_023657.1
LOC103243306,gene-LOC103243306,61499913,61502240,chr16,NC_023657.1
CCDC103,gene-CCDC103,61502337,61505872,chr16,NC_023657.1
EFTUD2,gene-EFTUD2,61505796,61549720,chr16,NC_023657.1
HIGD1B,gene-HIGD1B,61550154,61554475,chr16,NC_023657.1
GJC1,gene-GJC1,61575851,61596488,chr16,NC_023657.1
ADAM11,gene-ADAM11,61621707,61644813,chr16,NC_023657.1
DBF4B,gene-DBF4B,61652845,61693154,chr16,NC_023657.1
CCDC43,gene-CCDC43,61712992,61726121,chr16,NC_023657.1
C16H17orf104,gene-C16H17orf104,61728877,61747896,chr16,NC_023657.1
SMCO4,gene-SMCO4,61756420,61757094,chr16,NC_023657.1
FZD2,gene-FZD2,61837202,61839126,chr16,NC_023657.1
GPATCH8,gene-GPATCH8,61883810,61996089,chr16,NC_023657.1
ITGA2B,gene-ITGA2B,62001082,62019470,chr16,NC_023657.1
FAM171A2,gene-FAM171A2,62026232,62036808,chr16,NC_023657.1
GRN,gene-GRN,62037344,62045765,chr16,NC_023657.1
SLC25A39,gene-SLC25A39,62068307,62074359,chr16,NC_023657.1
RUNDC3A,gene-RUNDC3A,62075458,62085516,chr16,NC_023657.1
SLC4A1,gene-SLC4A1,62126370,62146192,chr16,NC_023657.1
LOC103243329,gene-LOC103243329,62165921,62168003,chr16,NC_023657.1
UBTF,gene-UBTF,62168288,62184902,chr16,NC_023657.1
ATXN7L3,gene-ATXN7L3,62190520,62198363,chr16,NC_023657.1
TMUB2,gene-TMUB2,62198435,62203491,chr16,NC_023657.1
ASB16,gene-ASB16,62203904,62222561,chr16,NC_023657.1
C16H17orf53,gene-C16H17orf53,62230588,62251090,chr16,NC_023657.1
LOC103243336,gene-LOC103243336,62267693,62274129,chr16,NC_023657.1
HDAC5,gene-HDAC5,62267837,62314914,chr16,NC_023657.1
LOC103243335,gene-LOC103243335,62274258,62278236,chr16,NC_023657.1
G6PC3,gene-G6PC3,62315324,62321522,chr16,NC_023657.1
LSM12,gene-LSM12,62326675,62360150,chr16,NC_023657.1
LOC103243339,gene-LOC103243339,62372075,62374905,chr16,NC_023657.1
TMEM101,gene-TMEM101,62383141,62387668,chr16,NC_023657.1
NAGS,gene-NAGS,62390001,62395162,chr16,NC_023657.1
PYY,gene-PYY,62405505,62441054,chr16,NC_023657.1
PPY,gene-PPY,62450284,62453995,chr16,NC_023657.1
LOC103243345,gene-LOC103243345,62455253,62457188,chr16,NC_023657.1
LOC103243853,gene-LOC103243853,62467840,62470343,chr16,NC_023657.1
MPP2,gene-MPP2,62487176,62519874,chr16,NC_023657.1
CD300LG,gene-CD300LG,62532509,62549471,chr16,NC_023657.1
LOC103243348,gene-LOC103243348,62546425,62549364,chr16,NC_023657.1
MPP3,gene-MPP3,62567386,62599682,chr16,NC_023657.1
C16H17orf105,gene-C16H17orf105,62617060,62621898,chr16,NC_023657.1
DUSP3,gene-DUSP3,62622667,62637129,chr16,NC_023657.1
LOC103243351,gene-LOC103243351,62637205,62639938,chr16,NC_023657.1
SOST,gene-SOST,62649053,62656192,chr16,NC_023657.1
MEOX1,gene-MEOX1,62747031,62770711,chr16,NC_023657.1
LOC103243361,gene-LOC103243361,62845452,62874677,chr16,NC_023657.1
ETV4,gene-ETV4,62864628,62883574,chr16,NC_023657.1
DHX8,gene-DHX8,62887115,62925119,chr16,NC_023657.1
ARL4D,gene-ARL4D,63010825,63012787,chr16,NC_023657.1
LOC103243369,gene-LOC103243369,63047467,63101163,chr16,NC_023657.1
TMEM106A,gene-TMEM106A,63085912,63108847,chr16,NC_023657.1
NBR1,gene-NBR1,63108946,63150010,chr16,NC_023657.1
LOC103243365,gene-LOC103243365,63155880,63158601,chr16,NC_023657.1
BRCA1,gene-BRCA1,63162827,63243928,chr16,NC_023657.1
RND2,gene-RND2,63259677,63270880,chr16,NC_023657.1
VAT1,gene-VAT1,63261522,63275136,chr16,NC_023657.1
IFI35,gene-IFI35,63276493,63284196,chr16,NC_023657.1
RPL27,gene-RPL27,63287493,63292054,chr16,NC_023657.1
RUNDC1,gene-RUNDC1,63297669,63313397,chr16,NC_023657.1
PTGES3L,gene-PTGES3L,63313688,63318930,chr16,NC_023657.1
LOC103243378,gene-LOC103243378,63323110,63337167,chr16,NC_023657.1
G6PC,gene-G6PC,63380921,63392122,chr16,NC_023657.1
LOC103243380,gene-LOC103243380,63418927,63428070,chr16,NC_023657.1
LOC103243382,gene-LOC103243382,63435494,63442790,chr16,NC_023657.1
AOC2,gene-AOC2,63442888,63449693,chr16,NC_023657.1
PSME3,gene-PSME3,63449954,63460490,chr16,NC_023657.1
LOC103243383,gene-LOC103243383,63460301,63465631,chr16,NC_023657.1
BECN1,gene-BECN1,63469187,63482627,chr16,NC_023657.1
CNTD1,gene-CNTD1,63482279,63490359,chr16,NC_023657.1
LOC103243804,gene-LOC103243804,63485730,63487076,chr16,NC_023657.1
WNK4,gene-WNK4,63494090,63512068,chr16,NC_023657.1
VPS25,gene-VPS25,63512161,63520923,chr16,NC_023657.1
RAMP2,gene-RAMP2,63526915,63529697,chr16,NC_023657.1
EZH1,gene-EZH1,63544483,63592651,chr16,NC_023657.1
CNTNAP1,gene-CNTNAP1,63590043,63606805,chr16,NC_023657.1
LOC103243393,gene-LOC103243393,63607550,63609263,chr16,NC_023657.1
CCR10,gene-CCR10,63607591,63610158,chr16,NC_023657.1
LOC103243857,gene-LOC103243857,63610984,63612832,chr16,NC_023657.1
PLEKHH3,gene-PLEKHH3,63612527,63621292,chr16,NC_023657.1
TUBG2,gene-TUBG2,63622196,63629548,chr16,NC_023657.1
LOC103243398,gene-LOC103243398,63639996,63641156,chr16,NC_023657.1
TUBG1,gene-TUBG1,63675056,63680596,chr16,NC_023657.1
FAM134C,gene-FAM134C,63680831,63708160,chr16,NC_023657.1
PSMC3IP,gene-PSMC3IP,63709351,63715338,chr16,NC_023657.1
MLX,gene-MLX,63714934,63720466,chr16,NC_023657.1
COASY,gene-COASY,63721240,63725854,chr16,NC_023657.1
HSD17B1,gene-HSD17B1,63730303,63733974,chr16,NC_023657.1
NAGLU,gene-NAGLU,63735411,63744365,chr16,NC_023657.1
ATP6V0A1,gene-ATP6V0A1,63754523,63818537,chr16,NC_023657.1
PTRF,gene-PTRF,63840693,63863162,chr16,NC_023657.1
STAT3,gene-STAT3,63877884,63957894,chr16,NC_023657.1
STAT5A,gene-STAT5A,63959265,63986627,chr16,NC_023657.1
STAT5B,gene-STAT5B,63997486,64070392,chr16,NC_023657.1
GHDC,gene-GHDC,64074646,64080073,chr16,NC_023657.1
HCRT,gene-HCRT,64083199,64085393,chr16,NC_023657.1
KCNH4,gene-KCNH4,64088084,64112963,chr16,NC_023657.1
RAB5C,gene-RAB5C,64115658,64142905,chr16,NC_023657.1
LOC103243419,gene-LOC103243419,64122241,64132795,chr16,NC_023657.1
HSPB9,gene-HSPB9,64144196,64146073,chr16,NC_023657.1
KAT2A,gene-KAT2A,64146146,64154726,chr16,NC_023657.1
DHX58,gene-DHX58,64154832,64166480,chr16,NC_023657.1
ZNF385C,gene-ZNF385C,64192718,64237217,chr16,NC_023657.1
LOC103243429,gene-LOC103243429,64207992,64211051,chr16,NC_023657.1
LOC103243427,gene-LOC103243427,64211319,64222226,chr16,NC_023657.1
NKIRAS2,gene-NKIRAS2,64236581,64242535,chr16,NC_023657.1
LOC103243424,gene-LOC103243424,64239099,64239528,chr16,NC_023657.1
DNAJC7,gene-DNAJC7,64243553,64287354,chr16,NC_023657.1
LOC103243430,gene-LOC103243430,64276806,64277703,chr16,NC_023657.1
CNP,gene-CNP,64288583,64296940,chr16,NC_023657.1
TTC25,gene-TTC25,64297983,64333421,chr16,NC_023657.1
ACLY,gene-ACLY,64343175,64392011,chr16,NC_023657.1
KLHL11,gene-KLHL11,64394829,64407252,chr16,NC_023657.1
KLHL10,gene-KLHL10,64412428,64423166,chr16,NC_023657.1
NT5C3B,gene-NT5C3B,64424292,64436414,chr16,NC_023657.1
FKBP10,gene-FKBP10,64438352,64448261,chr16,NC_023657.1
LEPREL4,gene-LEPREL4,64448360,64457865,chr16,NC_023657.1
JUP,gene-JUP,64470974,64503085,chr16,NC_023657.1
HAP1,gene-HAP1,64515013,64524270,chr16,NC_023657.1
LOC103243440,gene-LOC103243440,64517051,64519016,chr16,NC_023657.1
GAST,gene-GAST,64526548,64532145,chr16,NC_023657.1
EIF1,gene-EIF1,64549687,64552312,chr16,NC_023657.1
LOC103243860,gene-LOC103243860,64570938,64616030,chr16,NC_023657.1
LOC103243446,gene-LOC103243446,64615194,64622931,chr16,NC_023657.1
KRT16,gene-KRT16,64629385,64633125,chr16,NC_023657.1
KRT14,gene-KRT14,64654988,64660327,chr16,NC_023657.1
